"month","afai_mean","afai_pos_mean","sarg_pixel_frac","n_days"
2019-11-01,-0.00122771808653588,0.001383,0.00161246976619188,28
2019-12-01,-0.00124952715355805,0.003115,0.000702247191011236,29
2020-01-01,-0.00117961491387126,0.00142018181818182,0.00498640072529465,28
2020-02-01,-0.00125568300948938,NA,0,29
2020-03-01,-0.00110303787669339,0.000579,0.000552944429084877,26
2020-04-01,-0.00124544648750589,NA,0,18
2020-05-01,-0.00160622093813732,NA,0,17
2020-06-01,-0.00136695225194717,NA,0,19
2020-07-01,-0.00119743076923077,NA,0,21
2020-08-01,-0.00125830464396285,0.000528,0.000309597523219814,27
2020-09-01,-0.00112056254029658,0.001447,0.000322372662798195,25
2020-10-01,-0.00108536287799791,0.0009002,0.00173792144595064,24
2020-11-01,-0.00103352731376975,0.0005785,0.00090293453724605,16
2020-12-01,-0.00102517377511456,0.00170233333333333,0.00105745505816003,19
2021-01-01,-0.000941614258082343,0.00141972222222222,0.00497374965460072,25
2021-02-01,-0.00122351855723994,NA,0,26
2021-03-01,-0.00106254576271186,0.0006045,0.00135593220338983,24
2021-04-01,-0.00121317051705171,NA,0,19
2021-05-01,-0.00134634441805226,NA,0,21
2021-06-01,-0.00139042857142857,NA,0,13
2021-07-01,-0.00124175735294118,NA,0,26
2021-08-01,-0.00121757065217391,0.001549,0.000319693094629156,24
2021-09-01,-0.00096821854127705,0.00108942857142857,0.00935078813785733,24
2021-10-01,-0.0012926373200443,0.000974166666666667,0.00166112956810631,23
2021-11-01,-0.00104547274529237,0.00222,0.00173439048562934,28
2021-12-01,-0.00104836091127098,0.0013595,0.00359712230215827,27
2022-01-01,-0.000918062572646261,0.00160542857142857,0.00271212708252615,30
2022-02-01,-0.00109345174659562,0.000764,0.00118413262285376,27
2022-03-01,-0.00110998197891874,NA,0,24
2022-04-01,-0.00133012066831683,NA,0,16
2022-05-01,-0.00130624863793957,0.002009,0.000990589400693413,18
2022-06-01,-0.00118004734187039,NA,0,20
2022-07-01,-0.000947617421825144,0.000845727272727273,0.00350989151244416,18
2022-08-01,-0.00106704195180006,0.0010688,0.00148765248437965,21
2022-09-01,-0.00108450969918471,0.001166,0.00168681473151532,26
2022-10-01,-0.00114366456803078,0.00125164285714286,0.00489681706890521,22
2022-11-01,-0.00117614403292181,0.000834,0.00051440329218107,20
2022-12-01,-0.00116077053652622,0.00140981818181818,0.00333434374052743,30
2023-01-01,-0.0011685546775427,0.000996,0.00152944175375988,30
2023-02-01,-0.00124590204678363,0.00165966666666667,0.00087719298245614,28
2023-03-01,-0.00118671140939597,NA,0,25
2023-04-01,-0.0012350508541915,NA,0,22
2023-05-01,-0.00132687290167866,NA,0,23
2023-06-01,-0.00122116680080483,0.00174466666666667,0.000603621730382294,25
2023-07-01,-0.00135352246998285,NA,0,21
2023-08-01,-0.00116358670988655,0.00117433333333333,0.000694605232692753,25
2023-09-01,-0.00113103462218853,NA,0,27
2023-10-01,-0.00121227381533952,0.00206506015037594,0.0324865657059111,25
2023-11-01,-0.00134209115122817,0.0017915,0.00118378218407813,25
2023-12-01,-0.00121599787621359,NA,0,27
2024-01-01,-0.00118937494220989,NA,0,30
2024-02-01,-0.00125145497771174,NA,0,24
