"month","afai_mean","afai_pos_mean","sarg_pixel_frac","n_days"
2016-07-01,-0.0010904812942366,NA,0,9
2017-02-01,-0.00126005560307956,NA,0,9
2017-03-01,-0.00121121085858586,0.00108614285714286,0.00441919191919192,14
2017-04-01,-0.00136878496042216,NA,0,15
2017-05-01,-0.00135808854427214,NA,0,15
2017-06-01,-0.0013968790004384,0.000579,0.000876808417360807,20
2017-07-01,-0.00123916821917808,NA,0,23
2017-08-01,-0.00128145674511104,0.001013,0.000662910175671197,23
2017-09-01,-0.0011979499052261,0.00109575,0.00324939073923639,18
2017-10-01,-0.00121364152644231,0.00119433333333333,0.00270432692307692,24
2017-11-01,-0.00132232041271612,0.0024295,0.000557724484104852,27
2017-12-01,-0.00128363496211131,0.001472,0.000522602560752548,26
2018-01-01,-0.00134432729667435,NA,0,26
2018-02-01,-0.00116293894337235,0.0008425,0.00189813350205631,27
2018-03-01,-0.00108401528976572,0.00169005,0.00986436498150432,26
2018-04-01,-0.00118752891566265,0.000783,0.000602409638554217,18
2018-05-01,-0.00134266402239851,NA,0,22
2018-06-01,-0.00127768048780488,NA,0,19
2018-07-01,-0.0013481514207863,NA,0,16
2018-08-01,-0.00142477946076946,NA,0,22
2018-09-01,-0.00130332715674362,0.002298,0.000911300121506683,24
2018-10-01,-0.001435876953125,0.000655,0.000390625,19
2018-11-01,-0.00125608799751244,0.001074,0.0015547263681592,26
2018-12-01,-0.00117997607476636,NA,0,20
2019-01-01,-0.00118862004830918,0.0007705,0.000483091787439614,31
2019-02-01,-0.00118684955974843,NA,0,26
2019-03-01,-0.00132711513301352,NA,0,23
2019-04-01,-0.00126851352757544,0.000872,0.00104058272632674,22
2019-05-01,-0.00113992159180457,0.000878,0.00275807722616233,19
2019-06-01,-0.00131733073770492,NA,0,17
2019-07-01,-0.00121611430369128,NA,0,25
2019-08-01,-0.00128014976830399,NA,0,26
2019-09-01,-0.00124532695176529,0.001166,0.000248632521133764,22
